L1,L2,L3,L4,theta_2,theta_3,theta_4
210.000,400.000,500.000,650.000,0.336,-0.267,0.000
210.000,400.000,500.000,650.000,0.339,-0.264,0.004
210.000,400.000,500.000,650.000,0.342,-0.260,0.008
210.000,400.000,500.000,650.000,0.345,-0.257,0.012
210.000,400.000,500.000,650.000,0.348,-0.254,0.016
210.000,400.000,500.000,650.000,0.351,-0.251,0.020
210.000,400.000,500.000,650.000,0.354,-0.248,0.025
210.000,400.000,500.000,650.000,0.358,-0.245,0.029
210.000,400.000,500.000,650.000,0.361,-0.242,0.033
210.000,400.000,500.000,650.000,0.364,-0.239,0.037
210.000,400.000,500.000,650.000,0.367,-0.236,0.041
210.000,400.000,500.000,650.000,0.370,-0.234,0.045
210.000,400.000,500.000,650.000,0.373,-0.231,0.049
210.000,400.000,500.000,650.000,0.376,-0.228,0.053
210.000,400.000,500.000,650.000,0.379,-0.225,0.056
210.000,400.000,500.000,650.000,0.383,-0.222,0.060
210.000,400.000,500.000,650.000,0.386,-0.219,0.064
210.000,400.000,500.000,650.000,0.389,-0.216,0.068
210.000,400.000,500.000,650.000,0.392,-0.214,0.072
210.000,400.000,500.000,650.000,0.395,-0.211,0.076
210.000,400.000,500.000,650.000,0.398,-0.208,0.080
210.000,400.000,500.000,650.000,0.401,-0.205,0.084
210.000,400.000,500.000,650.000,0.404,-0.203,0.088
210.000,400.000,500.000,650.000,0.408,-0.200,0.091
210.000,400.000,500.000,650.000,0.411,-0.197,0.095
210.000,400.000,500.000,650.000,0.414,-0.194,0.099
210.000,400.000,500.000,650.000,0.417,-0.192,0.103
210.000,400.000,500.000,650.000,0.420,-0.189,0.107
210.000,400.000,500.000,650.000,0.423,-0.186,0.110
210.000,400.000,500.000,650.000,0.426,-0.184,0.114
210.000,400.000,500.000,650.000,0.429,-0.181,0.118
210.000,400.000,500.000,650.000,0.433,-0.179,0.122
210.000,400.000,500.000,650.000,0.436,-0.176,0.125
210.000,400.000,500.000,650.000,0.439,-0.173,0.129
210.000,400.000,500.000,650.000,0.442,-0.171,0.133
210.000,400.000,500.000,650.000,0.445,-0.168,0.136
210.000,400.000,500.000,650.000,0.448,-0.166,0.140
210.000,400.000,500.000,650.000,0.451,-0.163,0.144
210.000,400.000,500.000,650.000,0.454,-0.161,0.147
210.000,400.000,500.000,650.000,0.458,-0.158,0.151
210.000,400.000,500.000,650.000,0.461,-0.156,0.155
210.000,400.000,500.000,650.000,0.464,-0.153,0.158
210.000,400.000,500.000,650.000,0.467,-0.151,0.162
210.000,400.000,500.000,650.000,0.470,-0.149,0.166
210.000,400.000,500.000,650.000,0.473,-0.146,0.169
210.000,400.000,500.000,650.000,0.476,-0.144,0.173
210.000,400.000,500.000,650.000,0.479,-0.141,0.176
210.000,400.000,500.000,650.000,0.483,-0.139,0.180
210.000,400.000,500.000,650.000,0.486,-0.137,0.184
210.000,400.000,500.000,650.000,0.489,-0.134,0.187
210.000,400.000,500.000,650.000,0.492,-0.132,0.191
210.000,400.000,500.000,650.000,0.495,-0.130,0.194
210.000,400.000,500.000,650.000,0.498,-0.127,0.198
210.000,400.000,500.000,650.000,0.501,-0.125,0.201
210.000,400.000,500.000,650.000,0.504,-0.123,0.205
210.000,400.000,500.000,650.000,0.508,-0.120,0.208
210.000,400.000,500.000,650.000,0.511,-0.118,0.212
210.000,400.000,500.000,650.000,0.514,-0.116,0.215
210.000,400.000,500.000,650.000,0.517,-0.114,0.219
210.000,400.000,500.000,650.000,0.520,-0.111,0.222
210.000,400.000,500.000,650.000,0.523,-0.109,0.226
210.000,400.000,500.000,650.000,0.526,-0.107,0.229
210.000,400.000,500.000,650.000,0.529,-0.105,0.233
210.000,400.000,500.000,650.000,0.533,-0.102,0.236
210.000,400.000,500.000,650.000,0.536,-0.100,0.239
210.000,400.000,500.000,650.000,0.539,-0.098,0.243
210.000,400.000,500.000,650.000,0.542,-0.096,0.246
210.000,400.000,500.000,650.000,0.545,-0.094,0.250
210.000,400.000,500.000,650.000,0.548,-0.092,0.253
210.000,400.000,500.000,650.000,0.551,-0.089,0.256
210.000,400.000,500.000,650.000,0.554,-0.087,0.260
210.000,400.000,500.000,650.000,0.558,-0.085,0.263
210.000,400.000,500.000,650.000,0.561,-0.083,0.267
210.000,400.000,500.000,650.000,0.564,-0.081,0.270
210.000,400.000,500.000,650.000,0.567,-0.079,0.273
210.000,400.000,500.000,650.000,0.570,-0.077,0.277
210.000,400.000,500.000,650.000,0.573,-0.075,0.280
210.000,400.000,500.000,650.000,0.576,-0.073,0.283
